1,"Cheerios","Honey Nut Cheerios Gluten Free Cereal ",205,"5.0","2015-12-05 23:16:35.436370",1,0,"cereal"
2,"Kellogg's","Kellogg s Frosted Flakes Cereal",117,"4.5","2015-12-05 23:16:35.436370",1,1,"cereal"
3,"Other","Reese s Puffs Cereal ",19,"4.5","2015-12-05 23:16:35.436370",1,2,"cereal"
4,"Kellogg's","Kellogg s Original Frosted Mini Wheats Cereal",47,"5.0","2015-12-05 23:16:35.436370",1,3,"cereal"
5,"Kellogg's","Kellogg s Rice Krispies Cereal",60,"5.0","2015-12-05 23:16:35.436370",1,4,"cereal"
6,"Other","Kix Crispy Corn Puffs Cereal",12,"4.5","2015-12-05 23:16:35.436370",1,5,"cereal"
7,"Kellogg's","Kellogg s Apple Jacks Cereal ",52,"4.5","2015-12-05 23:16:35.436370",1,6,"cereal"
8,"Cheerios","Cheerios Honey Nut Cereal ",205,"5.0","2015-12-05 23:16:35.436370",1,7,"cereal"
9,"Kellogg's","Kellogg s Raisin Bran Crunch Cereal ",31,"4.5","2015-12-05 23:16:35.436370",1,8,"cereal"
10,"Kellogg's","Kellogg  s Cracklin  Oat Bran Cereal",19,"4.5","2015-12-05 23:16:35.436370",1,9,"cereal"
11,"Cheerios","Cheerios Family Size Gluten Free Cereal",45,"4.5","2015-12-05 23:16:35.436370",1,10,"cereal"
12,"Kellogg's","Kellogg s Corn Flakes Cereal",46,"4.5","2015-12-05 23:16:35.436370",1,11,"cereal"
13,"Other","Cinnamon Toast Crunch Cereal ",34,"4.5","2015-12-05 23:16:35.436370",1,12,"cereal"
14,"Post","Post Honey Bunches of Oats with Crispy Almonds Cereal",47,"5.0","2015-12-05 23:16:35.436370",1,13,"cereal"
15,"Other","Great Value Raisin Bran Cereal",74,"4.5","2015-12-05 23:16:35.436370",1,14,"cereal"
16,"Other","Great Value Crunchy Honey Oats Cereal With Almonds",59,"4.5","2015-12-05 23:16:35.436370",1,15,"cereal"
17,"Other","Lucky Charms Cereal ",110,"5.0","2015-12-05 23:16:35.436370",1,16,"cereal"
18,"Kellogg's","Kellogg s Froot Loops Cereal",63,"5.0","2015-12-05 23:16:35.436370",1,17,"cereal"
19,"Other","Cascadian Farm Organic Fruit And Nut Organic Granola ",71,"4.5","2015-12-05 23:16:35.436370",1,18,"cereal"
20,"Other","Great Value Cinnamon Crunch Cereal",34,"3.5","2015-12-05 23:16:35.436370",1,19,"cereal"
21,"Other","Raisin Nut Bran Cereal ",24,"5.0","2015-12-05 23:16:35.436370",2,0,"cereal"
22,"Cheerios","Multi Grain Cheerios Gluten Free Cereal",16,"5.0","2015-12-05 23:16:35.436370",2,1,"cereal"
23,"Cheerios","Apple Cinnamon Cheerios Cereal ",4,"5.0","2015-12-05 23:16:35.436370",2,2,"cereal"
